comment_id,video_id,video_title,comment_text,comment_published_at,comment_updated_at,comment_like_count,comment_reply_count,comment_engagement,video_published_at,video_view_count,video_like_count,video_comment_count,video_engagement,channel_title,search_query,source,collection_timestamp,video_url,sentiment_label,sentiment_confidence
UgwPNpxr9ZC1YYEgzpp4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,I've been waiting for your video on this Sir,2026-08-08 15:17:30+00:00,2026-08-08T15:17:30Z,14,1,15,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.6947338581085205
UgzHfc1hnNiXYaFWt4Z4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,monetized creators now will get 4-5x or even 6x the payout amount,2026-08-08 18:33:23+00:00,2026-08-08T18:33:23Z,7,3,10,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Neutral,0.6309505701065063
