target,model,class_weight,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Sentiment,Enhanced_Logistic_Regression,None,0.5944017563117453,0.5961768541001901,0.594283484212713,0.594923235520875,0.5948778238335913
Sentiment,Enhanced_Linear_SVM,None,0.5790340285400659,0.5802712485567553,0.5788950511128811,0.5792564159690748,0.5792112268627223
Topic,Enhanced_Logistic_Regression,balanced,0.9385290889132821,0.9144894894894895,0.5843342644320297,0.6773063398490019,0.9278284374145352
Topic,Enhanced_Linear_SVM,balanced,0.937980241492865,0.9102641056422569,0.5801675977653631,0.6718201153685024,0.926859223068635
