target,model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Sentiment,Logistic_Regression,0.5823271130625686,0.5845504737947177,0.5825866105627742,0.5832956805952741,0.5844047491732807,0.5823271130625686,0.5830903673668525
Sentiment,Linear_SVM,0.5565312843029637,0.5586552044794357,0.5566160558188366,0.5574455179635877,0.558331265487571,0.5565312843029637,0.5572430313669757
Sentiment,Naive_Bayes,0.5702524698133918,0.5697293570344438,0.5701785330334768,0.5689238371578978,0.5693278980949157,0.5702524698133918,0.5687545692148751
Topic,Logistic_Regression,0.8819978046103183,0.4696841511562324,0.31843575418994413,0.34131984494409245,0.8496551207495281,0.8819978046103183,0.842138970096677
Topic,Linear_SVM,0.9165751920965971,0.9777777777777777,0.4721880819366853,0.5465002387564977,0.9239907305768996,0.9165751920965971,0.8952262440785361
Topic,Naive_Bayes,0.8551042810098792,0.2137760702524698,0.25,0.23047337278106508,0.7312033314014225,0.8551042810098792,0.7883150708954981
